Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
South Lanarkshire,2015-16,84733,102656,Adult Social Care,Other Spend On Over 18s,16
South Lanarkshire,2015-16,10392,12590,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,16
South Lanarkshire,2015-16,4669,5657,Culture & Leisure,Libraries,16
South Lanarkshire,2015-16,632,766,Culture & Leisure,Museums & Galleries,16
South Lanarkshire,2015-16,7046,8536,Culture & Leisure,Sports Facilities,16
South Lanarkshire,2015-16,15553,18843,Economic Development,Economic Development & Tourism,16
South Lanarkshire,2015-16,18204,22055,Education,Pre-school,16
South Lanarkshire,2015-16,115726,140204,Education,Primary,16
South Lanarkshire,2015-16,115741,140223,Education,Secondary,16
South Lanarkshire,2015-16,5227,6333,Environmental Services,Street cleaning,16
South Lanarkshire,2015-16,5574,6753,Environmental Services,Trading Standards & Env. Health,16
South Lanarkshire,2015-16,10945,13260,Environmental Services,Waste Collection,16
South Lanarkshire,2015-16,14143,17135,Environmental Services,Waste Disposal,16
South Lanarkshire,2015-16,5496,6659,Looked After Children,Community,16
South Lanarkshire,2015-16,9139,11072,Looked After Children,Residential,16
South Lanarkshire,2015-16,10691,12952,Planning,Planning,16
South Lanarkshire,2015-16,43815,53083,Roads,Roads,16
South Lanarkshire,2015-16,33676,40799,Support Services,Support Services,16
South Lanarkshire,2015-16,793121,960882,Total General Fund,Total General Fund,16
South Lanarkshire,2016-17,44708,52960,Adult Social Care,Care Homes for Older People,17
South Lanarkshire,2016-17,33113,39225,Adult Social Care,Homecare,17
South Lanarkshire,2016-17,86674,102672,Adult Social Care,Other Spend On Over 18s,17
South Lanarkshire,2016-17,9036,10704,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,17
South Lanarkshire,2016-17,4429,5246,Culture & Leisure,Libraries,17
South Lanarkshire,2016-17,590,699,Culture & Leisure,Museums & Galleries,17
South Lanarkshire,2016-17,6651,7879,Culture & Leisure,Sports Facilities,17
South Lanarkshire,2016-17,15788,18702,Economic Development,Economic Development & Tourism,17
South Lanarkshire,2016-17,21077,24967,Education,Pre-school,17
South Lanarkshire,2016-17,118834,140768,Education,Primary,17
South Lanarkshire,2016-17,119462,141512,Education,Secondary,17
South Lanarkshire,2016-17,5051,5983,Environmental Services,Street cleaning,17
South Lanarkshire,2016-17,5189,6147,Environmental Services,Trading Standards & Env. Health,17
South Lanarkshire,2016-17,11336,13428,Environmental Services,Waste Collection,17
South Lanarkshire,2016-17,13929,16500,Environmental Services,Waste Disposal,17
South Lanarkshire,2016-17,6104,7231,Looked After Children,Community,17
South Lanarkshire,2016-17,9494,11246,Looked After Children,Residential,17
South Lanarkshire,2016-17,5761,6824,Planning,Planning,17
South Lanarkshire,2016-17,41183,48784,Roads,Roads,17
South Lanarkshire,2016-17,37240,44114,Support Services,Support Services,17
South Lanarkshire,2016-17,810246,959799,Total General Fund,Total General Fund,17
South Lanarkshire,2017-18,46516,54252,Adult Social Care,Care Homes for Older People,18
South Lanarkshire,2017-18,35523,41431,Adult Social Care,Homecare,18
South Lanarkshire,2017-18,89954,104914,Adult Social Care,Other Spend On Over 18s,18
South Lanarkshire,2017-18,7884,9195,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,18
South Lanarkshire,2017-18,4212,4913,Culture & Leisure,Libraries,18
South Lanarkshire,2017-18,583,680,Culture & Leisure,Museums & Galleries,18
South Lanarkshire,2017-18,6826,7961,Culture & Leisure,Sports Facilities,18
South Lanarkshire,2017-18,15825,18457,Economic Development,Economic Development & Tourism,18
South Lanarkshire,2017-18,22249,25949,Education,Pre-school,18
South Lanarkshire,2017-18,121778,142031,Education,Primary,18
South Lanarkshire,2017-18,121229,141391,Education,Secondary,18
South Lanarkshire,2017-18,5148,6004,Environmental Services,Street cleaning,18
South Lanarkshire,2017-18,5565,6491,Environmental Services,Trading Standards & Env. Health,18
South Lanarkshire,2017-18,11819,13785,Environmental Services,Waste Collection,18
South Lanarkshire,2017-18,14970,17460,Environmental Services,Waste Disposal,18
South Lanarkshire,2017-18,6760,7884,Looked After Children,Community,18
South Lanarkshire,2017-18,9074,10583,Looked After Children,Residential,18
South Lanarkshire,2017-18,5463,6372,Planning,Planning,18
South Lanarkshire,2017-18,32809,38266,Roads,Roads,18
South Lanarkshire,2017-18,36070,42069,Support Services,Support Services,18
South Lanarkshire,2017-18,814632,950115,Total General Fund,Total General Fund,18
South Lanarkshire,2018-19,48022,54852,Adult Social Care,Care Homes for Older People,19
South Lanarkshire,2018-19,38609,44100,Adult Social Care,Homecare,19
South Lanarkshire,2018-19,95837,109467,Adult Social Care,Other Spend On Over 18s,19
South Lanarkshire,2018-19,8080,9229,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,19
South Lanarkshire,2018-19,4165,4757,Culture & Leisure,Libraries,19
South Lanarkshire,2018-19,556,635,Culture & Leisure,Museums & Galleries,19
South Lanarkshire,2018-19,7521,8591,Culture & Leisure,Sports Facilities,19
South Lanarkshire,2018-19,15167,17324,Economic Development,Economic Development & Tourism,19
South Lanarkshire,2018-19,26377,30128,Education,Pre-school,19
South Lanarkshire,2018-19,134471,153595,Education,Primary,19
South Lanarkshire,2018-19,127072,145144,Education,Secondary,19
South Lanarkshire,2018-19,5483,6263,Environmental Services,Street cleaning,19
South Lanarkshire,2018-19,4394,5019,Environmental Services,Trading Standards & Env. Health,19
South Lanarkshire,2018-19,12011,13719,Environmental Services,Waste Collection,19
South Lanarkshire,2018-19,14991,17123,Environmental Services,Waste Disposal,19
South Lanarkshire,2018-19,8152,9311,Looked After Children,Community,19
South Lanarkshire,2018-19,10692,12213,Looked After Children,Residential,19
South Lanarkshire,2018-19,11163,12751,Planning,Planning,19
South Lanarkshire,2018-19,37870,43256,Roads,Roads,19
South Lanarkshire,2018-19,35481,40527,Support Services,Support Services,19
South Lanarkshire,2018-19,822501,939475,Total General Fund,Total General Fund,19
South Lanarkshire,2019-20,51138.7455429309,57064,Adult Social Care,Care Homes for Older People,20
South Lanarkshire,2019-20,44127,49240,Adult Social Care,Homecare,20
South Lanarkshire,2019-20,99382.2544570691,110898,Adult Social Care,Other Spend On Over 18s,20
South Lanarkshire,2019-20,8417,9392,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,20
South Lanarkshire,2019-20,4190,4676,Culture & Leisure,Libraries,20
South Lanarkshire,2019-20,527,588,Culture & Leisure,Museums & Galleries,20
South Lanarkshire,2019-20,7857,8767,Culture & Leisure,Sports Facilities,20
South Lanarkshire,2019-20,14254,15906,Economic Development,Economic Development & Tourism,20
South Lanarkshire,2019-20,39977,44609,Education,Pre-school,20
South Lanarkshire,2019-20,143520,160150,Education,Primary,20
South Lanarkshire,2019-20,138679,154748,Education,Secondary,20
South Lanarkshire,2019-20,5605,6254,Environmental Services,Street cleaning,20
South Lanarkshire,2019-20,4545,5072,Environmental Services,Trading Standards & Env. Health,20
South Lanarkshire,2019-20,11940,13324,Environmental Services,Waste Collection,20
South Lanarkshire,2019-20,15085,16833,Environmental Services,Waste Disposal,20
South Lanarkshire,2019-20,10081,11249,Looked After Children,Community,20
South Lanarkshire,2019-20,12034,13428,Looked After Children,Residential,20
South Lanarkshire,2019-20,6797,7585,Planning,Planning,20
South Lanarkshire,2019-20,37851,42237,Roads,Roads,20
South Lanarkshire,2019-20,34829,38865,Support Services,Support Services,20
South Lanarkshire,2019-20,867722,968267,Total General Fund,Total General Fund,20
South Lanarkshire,2020-21,55145.0812862459,60137,Adult Social Care,Care Homes for Older People,21
South Lanarkshire,2020-21,48784,53200,Adult Social Care,Homecare,21
South Lanarkshire,2020-21,114207.918713754,124547,Adult Social Care,Other Spend On Over 18s,21
South Lanarkshire,2020-21,10200,11123,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,21
South Lanarkshire,2020-21,2653,2893,Culture & Leisure,Libraries,21
South Lanarkshire,2020-21,328,358,Culture & Leisure,Museums & Galleries,21
South Lanarkshire,2020-21,10468,11416,Culture & Leisure,Sports Facilities,21
South Lanarkshire,2020-21,13465,14684,Economic Development,Economic Development & Tourism,21
South Lanarkshire,2020-21,49249,53708,Education,Pre-school,21
South Lanarkshire,2020-21,144449,157526,Education,Primary,21
South Lanarkshire,2020-21,145107,158244,Education,Secondary,21
South Lanarkshire,2020-21,5008,5461,Environmental Services,Street cleaning,21
South Lanarkshire,2020-21,4833,5271,Environmental Services,Trading Standards & Env. Health,21
South Lanarkshire,2020-21,12518,13651,Environmental Services,Waste Collection,21
South Lanarkshire,2020-21,17191,18747,Environmental Services,Waste Disposal,21
South Lanarkshire,2020-21,9561,10427,Looked After Children,Community,21
South Lanarkshire,2020-21,13316,14522,Looked After Children,Residential,21
South Lanarkshire,2020-21,5340,5823,Planning,Planning,21
South Lanarkshire,2020-21,44849,48909,Roads,Roads,21
South Lanarkshire,2020-21,35033,38205,Support Services,Support Services,21
South Lanarkshire,2020-21,976098,1064465,Total General Fund,Total General Fund,21
South Lanarkshire,2021-22,63147.3405585805,67300,Adult Social Care,Care Homes for Older People,22
South Lanarkshire,2021-22,55813.0975186608,59484,Adult Social Care,Homecare,22
South Lanarkshire,2021-22,96173.5619227586,102498,Adult Social Care,Other Spend On Over 18s,22
South Lanarkshire,2021-22,10599,11296,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,22
South Lanarkshire,2021-22,3927,4185,Culture & Leisure,Libraries,22
South Lanarkshire,2021-22,462,492,Culture & Leisure,Museums & Galleries,22
South Lanarkshire,2021-22,8974,9564,Culture & Leisure,Sports Facilities,22
South Lanarkshire,2021-22,20159,21485,Economic Development,Economic Development & Tourism,22
South Lanarkshire,2021-22,58554,62405,Education,Pre-school,22
South Lanarkshire,2021-22,153645,163749,Education,Primary,22
South Lanarkshire,2021-22,155013,165207,Education,Secondary,22
South Lanarkshire,2021-22,5340,5691,Environmental Services,Street cleaning,22
South Lanarkshire,2021-22,5067,5400,Environmental Services,Trading Standards & Env. Health,22
South Lanarkshire,2021-22,13125,13988,Environmental Services,Waste Collection,22
South Lanarkshire,2021-22,16698,17796,Environmental Services,Waste Disposal,22
South Lanarkshire,2021-22,10487,11177,Looked After Children,Community,22
South Lanarkshire,2021-22,13936,14852,Looked After Children,Residential,22
South Lanarkshire,2021-22,6220,6629,Planning,Planning,22
South Lanarkshire,2021-22,41550,44283,Roads,Roads,22
South Lanarkshire,2021-22,39423,42016,Support Services,Support Services,22
South Lanarkshire,2021-22,1017879,1084820,Total General Fund,Total General Fund,22
South Lanarkshire,2022-23,64528,64528,Adult Social Care,Care Homes for Older People,23
South Lanarkshire,2022-23,58431,58431,Adult Social Care,Homecare,23
South Lanarkshire,2022-23,115058,115058,Adult Social Care,Other Spend On Over 18s,23
South Lanarkshire,2022-23,11402,11402,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,23
South Lanarkshire,2022-23,4459,4459,Culture & Leisure,Libraries,23
South Lanarkshire,2022-23,492,492,Culture & Leisure,Museums & Galleries,23
South Lanarkshire,2022-23,11299,11299,Culture & Leisure,Sports Facilities,23
South Lanarkshire,2022-23,20751,20751,Economic Development,Economic Development & Tourism,23
South Lanarkshire,2022-23,62888,62888,Education,Pre-school,23
South Lanarkshire,2022-23,174475,174475,Education,Primary,23
South Lanarkshire,2022-23,168937,168937,Education,Secondary,23
South Lanarkshire,2022-23,5017,5017,Environmental Services,Street cleaning,23
South Lanarkshire,2022-23,4960,4960,Environmental Services,Trading Standards & Env. Health,23
South Lanarkshire,2022-23,13514,13514,Environmental Services,Waste Collection,23
South Lanarkshire,2022-23,15928,15928,Environmental Services,Waste Disposal,23
South Lanarkshire,2022-23,11613,11613,Looked After Children,Community,23
South Lanarkshire,2022-23,16983,16983,Looked After Children,Residential,23
South Lanarkshire,2022-23,6589,6589,Planning,Planning,23
South Lanarkshire,2022-23,38626,38626,Roads,Roads,23
South Lanarkshire,2022-23,42352,42352,Support Services,Support Services,23
South Lanarkshire,2022-23,1106939,1106939,Total General Fund,Total General Fund,23
Stirling,2010-11,11782,15370,Adult Social Care,Care Homes for Older People,11
Stirling,2010-11,6355,8290,Adult Social Care,Homecare,11
Stirling,2010-11,19350,25243,Adult Social Care,Other Spend On Over 18s,11
Stirling,2010-11,2611,3406,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
Stirling,2010-11,2164,2823,Culture & Leisure,Libraries,11
Stirling,2010-11,199,260,Culture & Leisure,Museums & Galleries,11
Stirling,2010-11,2272,2964,Culture & Leisure,Sports Facilities,11
Stirling,2010-11,2570,3353,Economic Development,Economic Development & Tourism,11
Stirling,2010-11,7459,9730,Education,Pre-school,11
Stirling,2010-11,31963,41697,Education,Primary,11
Stirling,2010-11,39840,51972,Education,Secondary,11
Stirling,2010-11,1798,2346,Environmental Services,Street cleaning,11
Stirling,2010-11,2682,3499,Environmental Services,Trading Standards & Env. Health,11
Stirling,2010-11,8920,11636,Environmental Services,Waste Collection,11
Stirling,2010-11,3695,4820,Environmental Services,Waste Disposal,11
Stirling,2010-11,1475,1924,Looked After Children,Community,11
Stirling,2010-11,3169,4134,Looked After Children,Residential,11
Stirling,2010-11,1834,2393,Planning,Planning,11
Stirling,2010-11,13413,17498,Roads,Roads,11
Stirling,2010-11,28037,36575,Support Services,Support Services,11
Stirling,2010-11,259259,338211,Total General Fund,Total General Fund,11
Stirling,2011-12,11320,14511,Adult Social Care,Care Homes for Older People,12
Stirling,2011-12,5982,7669,Adult Social Care,Homecare,12
Stirling,2011-12,22291,28576,Adult Social Care,Other Spend On Over 18s,12
Stirling,2011-12,2437,3124,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
Stirling,2011-12,2372,3041,Culture & Leisure,Libraries,12
Stirling,2011-12,266,341,Culture & Leisure,Museums & Galleries,12
Stirling,2011-12,2177,2791,Culture & Leisure,Sports Facilities,12
Stirling,2011-12,2836,3636,Economic Development,Economic Development & Tourism,12
Stirling,2011-12,6552,8399,Education,Pre-school,12
Stirling,2011-12,31013,39757,Education,Primary,12
Stirling,2011-12,38885,49848,Education,Secondary,12
Stirling,2011-12,1890,2423,Environmental Services,Street cleaning,12
Stirling,2011-12,2535,3250,Environmental Services,Trading Standards & Env. Health,12
Stirling,2011-12,6848,8779,Environmental Services,Waste Collection,12
Stirling,2011-12,6689,8575,Environmental Services,Waste Disposal,12
Stirling,2011-12,1708,2190,Looked After Children,Community,12
Stirling,2011-12,3568,4574,Looked After Children,Residential,12
Stirling,2011-12,1828,2343,Planning,Planning,12
Stirling,2011-12,15532,19911,Roads,Roads,12
Stirling,2011-12,13468,17265,Support Services,Support Services,12
Stirling,2011-12,247468,317238,Total General Fund,Total General Fund,12
Stirling,2012-13,11228,14134,Adult Social Care,Care Homes for Older People,13
Stirling,2012-13,5671,7139,Adult Social Care,Homecare,13
Stirling,2012-13,23995,30206,Adult Social Care,Other Spend On Over 18s,13
Stirling,2012-13,2436,3067,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,13
Stirling,2012-13,2260,2845,Culture & Leisure,Libraries,13
Stirling,2012-13,266,335,Culture & Leisure,Museums & Galleries,13
